Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Bebida a base de soja sabor natural,40,90.0,2.6,1.5,0,0.30,0.30,0.90,0,0.84,0.063,0,0,0,4.0,4.6,3.0,3.0,0.6,0,x,70,118,120,0.128,52,0.64,25,0.5,0,38,24,60,60,0.060,0.195,0.48,7.0,1.00
"Choclo, enlatado en grano",67,82.8,2.2,1.4,0,0.22,0.42,0.68,0,0.66,0.020,0,0,0,11.3,13.0,4.1,0,1.7,0,0.57,163,116,2,0.031,41,0.22,11,0.28,0.78,29,0,2,0,0.015,0.015,0,1.7,0
Pan figacita de manteca,278,36.4,6.8,7.1,0,2.62,2.98,1.24,0,1.19,0,0,0,0,46.6,50.9,1.5,1.3,2.7,0,0.3,522,115,7,0.1,91,2.74,15,0.6,1.98,195,99,0,0,0.511,0.151,0,0,0
"Huevo de gallina, yema, cruda",339,52.1,16.6,28.7,1315,10.33,12.69,4.55,0,3.54,0.103,0.438,0.011,0.114,3.6,3.6,0.6,0,0,0,2.6,65,114,109,0.077,510,5.87,5,2.3,0.02,146,0,381,371,0.176,0.528,1.95,0,5.40
"Huevo de gallina, yema, hervida",339,52.1,16.6,28.7,1315,10.33,12.69,4.55,0,3.54,0.103,0.438,0.011,0.114,3.6,3.6,0.6,0,0,0,2.6,65,114,109,0.077,510,5.87,5,2.3,0.02,110,0,381,371,0.150,0.502,1.66,0,5.40
Arroz inflado azucarado,382,3.0,6.3,0.5,0,0.13,0.20,0.10,0,0.09,0.010,0,0,0,88.1,89.8,20.0,20.0,1.7,0,0.4,3,113,6,0.169,98,0.44,25,1.03,1.12,19,0,0,0,0.027,0.064,0,0,0
"Choclo, crudo",97,73.9,3.7,1.2,0,0.18,0.35,0.56,0,0.33,0.014,0,0,0,17.8,20.5,3.2,0,2.7,0,0.70,40,113,6,0.054,103,0.47,37,0.45,2.00,46,0,0,0,0.134,0.081,0,8.2,0
"Choclo, hervido",100,73.2,3.1,0.7,0,0.11,0.22,0.35,0,0.34,0.010,0,0,0,20.2,22.3,3.2,0,2.1,0,0.62,4,113,3,0.046,75,0.61,29,0.63,1.52,31,0,0,0,0.174,0.069,0,4.8,0
Cucurucho / cubanito,399,5.3,8.1,6.9,0,1.22,1.85,3.26,0,3.08,0.188,0,0,0,76.0,79.0,6.0,6.0,3.0,0,0.7,256,112,25,0.204,97,3.60,26,0.67,4.43,291,168,0,0,0.250,0.354,0,0,0
Kani Kama,96,76.3,15.2,0.9,30,0.19,0.15,0.44,0,0.00,0.007,0.014,0.157,0.241,6.9,6.9,0,0,0,0,0.72,143,112,9,0.032,282,0.26,43,0.33,0.22,2,0,20,20,0.020,0.021,1.60,0,0
Aceto balsámico,70,76.5,0.5,0.0,0,0.00,0.00,0.00,0,0.00,0,x,0,0,17.0,17.0,15.0,15.0,0,0,0.37,23,112,27,0.026,19,0.72,12,0.08,0,0,0,0,0,0,0,0,0,0
Salsa blanca en polvo envasada,347,8.5,8.2,8.7,17,4.60,2.60,0.90,0.20,0.86,0,0,0,0,59.0,60.5,1.0,1.0,1.5,0,14.06,5624,112,8,0.100,92,2.91,15,0.49,1.89,285,154,0,0,0.575,0.140,0,0,0
Rosquete,342,27.0,6.6,9.4,42,4.32,3.78,0.64,0.29,0.52,0.062,0,0,0,57.7,61.3,21.1,20.9,2.3,0,0.4,16,110,11,0.08,95,2.54,14,0.7,1.75,167,81,12,12,0.440,0.196,0.12,0,0.20
Postre de leche listo para consu- mir tipo Serenito,141,69.5,3.6,3.8,10.0,2.30,0.81,0.20,0.13,0.12,0.075,0,0,0,23.1,23.1,20.8,16.3,0,0,x,99,110,98,0.02,76,0.06,8,0.24,0.07,4,0,22,22,0.037,0.135,0.36,0,0.06
Muzzarella rebozada sin freir (polle- ría o granja),305,40.4,18.9,16.7,83,9.73,4.89,1.14,0.50,0.99,0.116,0,0,0,19.8,21.1,1.3,0.6,1.2,0,2.856,480,110,378,0.07,292,1.70,24,2.37,0.64,68,31,130,127,0.173,0.263,1.58,0,0.35
"Garbanzos, enlatados",117,66.9,7.0,2.5,0,0.21,0.49,0.96,0,0.93,0.036,0,0,0,16.6,22.9,4.0,0,6.3,0,0.74,212,109,43,0.25,80,0.98,24,0.59,0.13,41,0,1,0,0.025,0.015,0,0.1,0
Pochoclo acaramelado,426,2.8,3.8,12.8,0,3.61,2.88,4.48,0,4.07,0.400,0,0,0,73.9,79.1,53.2,53.2,5.2,0,1.5,206,109,43,0.119,83,1.74,35,0.58,2.20,5,0,2,2,0.065,0.070,0.01,0,0
"Jugo de limón, envasado",22,93.6,0.5,0.1,0,0.03,0.01,0.02,0,0.01,0,0,0,0,4.9,5.6,1.5,0,0.7,0,0.22,24,109,10,0.018,9,0.06,7,0.19,0.18,9,0,2,0,0.021,0.017,0,14.3,0
Manzana con piel,48,85.6,0.3,0.2,0,0.03,0.01,0.05,0,0.04,0.009,0,0,0,11.4,13.8,10.4,0,2.4,0,0.19,1,107,6,0.027,11,0.12,5,0.04,0.09,3,0,3,0,0.017,0.026,0,4.6,0
Rosquita tipo Doughtnut de cho- colate,418,16.3,4.5,19.9,57,5.13,11.28,2.48,0,2.34,0.123,0.007,0.002,0.002,55.2,57.4,31.9,31.9,2.2,0,1.8,215,106,213,0.191,162,2.27,34,0.57,0.47,64,28,12,11,0.045,0.070,0.10,0.1,0
Arroz con leche envasado listo para consumir,126,71.9,3.1,2.8,7.2,1.22,1.43,0.30,0,0.24,0.060,0,0,0,22.2,22.2,11.6,9.4,0,0,x,35,105,86,0.0289,78,0.11,11,0.34,0.18,4,0,100,100,0.038,0.123,0.32,0,0.83
"Capelettis frescos, artesanal, her- vido",211,53.5,9.8,5.7,32,2.86,1.64,0.69,0.12,0.60,0.053,0,0,0,30.1,32.0,1.1,0,1.9,0,x,260,104,101,0.03,131,0.82,21,0.83,0.97,15,0,55,49,0.243,0.090,0.50,0,0.27
Pastelitos rellenos de dulce de membrillo o batata (panadería / confitería),404,19.5,4.4,18.4,3.7,5.24,5.68,6.82,0.39,6.72,0.094,0,0,0,55.2,57.1,20.3,20.2,1.9,0,0.7,4,104,13,0.06,54,0.74,10,0.3,0.41,9,0,0,0,0.323,0.211,0,0,0
"Ravioles frescos, artesanal, her- vidos",211,53.5,9.8,5.7,32,2.86,1.64,0.69,0.12,0.60,0.053,0,0,0,30.1,32.0,1.1,0,1.9,0,x,260,104,101,0.03,131,0.82,21,0.83,0.97,15,0,55,49,0.243,0.090,0.30,0,0.27
Torta de coco (panadería),507,9.4,6.5,30.9,53,12.60,13.03,4.47,0.00,4.26,0.152,0,0,0,50.9,54.0,19.3,18.8,2.0,0,0.4,32,104,14,0.09,92,2.42,14,0.6,1.26,135,70,19,19,0.351,0.190,0.20,0,0.17
Postre de leche bebible infantil,59,85.9,2.5,0.5,2.3,0.32,0.15,0.02,0,0.02,0.002,0,0,0,11.1,11.1,10.3,6.7,0,0,x,38,104,162,0.006,70,1.20,8,1.08,0.07,4,0,90,90,0.023,0.139,0.38,0.2,1.08
Pan dulce,358,21.5,9.4,11.6,30,2.18,3.50,1.53,1.10,1.21,0.066,0.009,0,0,54.1,56.4,25.0,21.0,2.3,0,1.08,228,103,86,0.121,94,2.87,24,0.84,3.46,155,68,5,5,0.377,0.230,0.11,1.2,0
Postre de leche listo para consu- mir tipo Danonino,91,80.0,4.7,2.3,7.5,1.37,0.61,0.15,0.10,0.09,0.056,0,0,0,13.0,13.0,11.7,8.1,0,0,x,58,103,188,0.019,71,1.37,8,1.1,0.07,43,23,94,94,0.035,0.127,0.34,0,1.10
"Jugo de limón, exprimido",30,92.3,0.4,0.2,0,0.04,0.01,0.02,0,0.01,0.009,0,0,0,6.6,6.9,2.5,0,0.3,0,0.21,1,103,6,0.016,8,0.08,6,0.05,0.09,20,0,0,0,0.024,0.015,0,38.7,0
Rosquito de vino (cuyano),465,5.1,5.6,19.1,0,1.91,15.58,0.93,0,0.88,0,0,0,0,67.7,71.2,28.7,27.3,2.2,0,0.3,5,102,7,0.1,73,2.31,13,0.4,1.51,156,84,0,0,0.407,0.112,0,0,0
"Leche fórmula etapa 3, fluida",67,86.4,2.1,2.8,0.7,0.89,1.20,0.56,0,0.43,0.085,0,0,0.007,8.4,8.7,4.4,0.7,0.3,0,0,34,102,109,0.044,60,1.15,7,0.8,0.42,24,14,75,75,0.085,0.161,0.26,11.7,1.59
"Chipaco o pan con chicharrón, comprado",340,32.0,7.9,16.1,7.3,6.19,5.34,1.67,0,1.21,0.102,0,0,0,41.0,44.8,0.5,0.4,2.4,0,0.6,639,101,13,0.1,94,2.65,13,0.6,1.57,169,86,0,0,0.398,0.120,0,0,0
Galletitas dulces con centro de membrillo o similar (tipo Pepas),473,0.4,5.9,17.3,18,8.43,7.05,0.91,0.62,0.74,0.113,0,0,0,73.3,77.5,31.8,31.6,2.7,0,0.3,88,101,7,0.1,77,2.46,13,0.4,1.55,165,89,0,0,0.426,0.115,0,0,0.19
"Leche seguimiento etapa 3, sabor vainilla",68,86.3,2.1,2.6,6.9,1.00,1.00,0.40,0,0.30,0.085,0,0,0,9.0,9.0,7.0,3.5,0.2,0,x,38,101,129,0.045,74,1.30,7,0.9,0.24,24,14,75,75,0.050,0.130,0.24,10.0,1.70
Sandía,32,92.1,0.5,0.2,0,0.02,0.04,0.05,0,0.05,0,0,0,0,7.2,6.9,6.2,0,0.4,0,0.30,8,100,11,0.042,3,0.23,10,0.1,0.18,3,0,28,0,0.033,0.022,0,9.1,0
Galletitas dulces de almidón de maíz (tapita de alfajor),450,3.0,8.5,13.8,4.9,6.17,5.96,1.21,0.63,1.00,0.210,0,0,0,73.0,73.0,20.3,20.3,1.1,0,1.3,233,100,42,0.157,111,2.75,18,0.64,1.40,165,89,0,0,0.350,0.326,0.05,0,0
Galletitas dulces simples,450,3.0,8.5,13.8,4.9,6.17,5.96,1.21,0.63,1.00,0.210,0,0,0,73.0,73.0,20.3,20.3,1.1,0,1.3,233,100,42,0.157,111,2.75,18,0.64,1.40,165,89,0,0,0.350,0.326,0.05,0,0
Galletitas dulces tipo Frutigran,423,3.0,7.8,16.0,0,1.30,12.00,1.20,0,1.14,0.060,0,0,0,62.0,73.0,20.3,20.3,7.5,0,x,315,100,42,0.157,111,2.75,18,0.64,1.40,165,89,0,0,0.350,0.326,0.05,0,0
"Pan con grasa (tipo pan ""cordero"")",329,33.6,7.1,15.0,4.2,6.21,5.27,1.66,0,1.35,0.114,0,0,0,41.5,45.3,1.3,1.1,2.4,0,0.5,567,100,10,0.08,88,2.55,13,0.6,1.55,170,87,0,0,0.397,0.118,0,0,0
"Durazno, enlatado light (fruta y almíbar)",43,93.13,0.44,0.06,0,0.006,0.021,0.028,0,0.027,0.001,0,0,0,4.81,6.11,4.81,0,1.3,0,0.27,3,99,2,0.054,10,0.32,5,0.09,0.521,3,0,27,0,0.009,0.019,0,2.9,0
Bizcochuelo preparado (panade- ría),288,29.7,5.4,2.7,102,0.80,0.95,0.45,0,0.39,0.015,0.034,0.001,0.009,60.5,61.0,36.7,36.7,0.5,0,1.2,623,99,70,0.062,137,2.72,11,0.51,1.93,71,34,44,44,0.243,0.269,0.24,0,0.20
Bizcochuelo preparado a partir de polvo premezcla,294,29.7,6.0,7.0,102,3.50,0.95,0.45,0,0.40,0.045,0.034,0.001,0.009,51.7,52.7,36.7,33.0,1.0,0,1.2,453,99,70,0.062,137,2.72,11,0.51,1.93,71,34,44,44,0.243,0.269,0.24,0,0.36
Pionono,294,29.7,6.0,7.0,102,3.50,0.95,0.45,0,0.40,0.045,0.034,0.001,0.009,51.7,52.7,36.7,33.0,1.0,0,1.2,453,99,70,0.062,137,2.72,11,0.51,1.93,71,34,44,44,0.243,0.269,0.24,0,0.36
Alfajor de miel,303,24.6,7.6,3.2,127,1.06,1.26,0.61,0,0.50,0,0,0,0,60.9,63.6,32.5,32.2,1.6,0,1.0,78,99,53,0.07,155,2.45,11,0.5,1.11,179,89,37,36,0.349,0.202,0.20,0,0.52
Salsa agridulce,154,60.3,0.3,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,38.1,38.2,18.8,18.8,0.1,0,1.22,539,99,10,0.079,7,0.21,8,0.09,0.19,8,0,1,0,0.048,0.019,0,8.7,0
Vino tinto,84,86.6,0.1,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,2.7,2.7,0.8,0,0,10.4,0.24,5,99,8,0.007,20,0.37,11,0.13,0.17,1,0,0,0,0.005,0.023,0,0,0
Bizcochos tipo Bay Biscuit,396,5.9,8.4,4.6,42,1.10,1.66,1.64,0,1.41,0.18,0,0,0,80.2,80.2,38.0,38.0,1.5,0,x,245,97,111,0.086,125,2.68,14,0.51,2.65,105,53,18,18,0.315,0.308,0.09,0,0
Crema light,299,63.5,2.2,30.9,111,19.34,9.09,0.88,1.03,0.62,0.266,0,0,0,3.0,3.0,3.0,0,0,0,0.46,34,97,69,0.007,61,0.03,7,0.25,0.04,4,0,279,274,0.024,0.125,0.20,0.6,0.92
Palitos salados,528,4.8,7.2,32.4,0,3.60,23.50,4.00,0,3.92,0.080,0,0,0,52.0,55.6,0,0,3.6,0,x,904,96,7,0.0864,79,2.49,13,1.32,1.62,244,132,0,0,0.493,0.120,0,0,0
"Leche fórmula etapa 4, fluida",61,87.7,1.5,2.5,3.4,0.69,1.16,0.64,0,0.54,0.077,0,0,0,8.1,8.3,6.0,0,0.2,0,x,25,95,90,0.0,67,1.28,6,1.0,0.43,24,14,62,62,0.066,0.147,0.22,11.5,1.22
Bombón tipo Bon O Bon,556,4.1,10.0,36.0,2.8,18.00,13.00,4.30,0,4.21,0.086,0,0,0,48.0,49.9,42.0,42.0,1.9,0,x,122,95,9,0.0642,54,0.24,27,0.42,2.15,15,0,0,0,0.023,0.030,0,0,0
Crema de leche,347,57.7,2.8,36.1,113,23.03,9.10,1.57,1.24,0.87,0.122,0.058,0,0,2.8,2.8,2.9,0,0,0,0.53,27,95,66,0.011,58,0.10,7,0.24,0.06,4,0,411,405,0.020,0.188,0.16,0.6,1.60
"Capelettis / capelettinis deshidra- tados, envasados, crudos",351,17.6,10.9,6.5,5.0,2.60,1.50,1.50,0,1.35,0.150,0,0,0,62.1,65.0,0,0,2.9,0,x,468,93,357,0.09,68,0.62,23,0.7,6.40,35,0,223,223,0.500,0.600,0,0,1.80
"Cereal desayuno, copos azucara-
dos, fortificados",401,3.4,7.1,0.8,0,0.14,0.20,0.35,0,0.30,0.050,0,0,0,91.4,94.0,3.0,3.0,2.6,0,x,410,93,648,0.02,53,13.60,11,5.0,16.00,372,219,10,0,0.020,1.300,0,0,0
"Cereal desayuno, copos de maíz
sin azúcar, sin fortificar",401,3.4,7.1,0.8,0,0.14,0.11,0.29,0,0.28,0.017,0,0,0,91.4,94.0,3.0,3.0,2.6,0,x,410,93,7,0,53,0.40,11,0.2,0.80,7,0,10,0,0,0.080,0,0,0
"Maíz, grano entero, hervido",127,65.4,3.8,0.4,0,0.06,0.11,0.19,0,0.18,0.006,0,0,0,27.0,30.0,0.3,0,2.9,0,0.52,14,92,3,0.126,80,1.08,51,0.84,1.09,5,0,0,0,0.077,0.060,0,0,0
Queso en hebras,381,30.0,35.8,25.0,68,14.85,7.52,0.57,0.75,0.76,0.089,0,0,0,3.2,3.2,0.1,0,0,0,6.04,1175,92,1184,0.032,694,0.82,44,2.75,0.27,7,0,207,201,0.039,0.332,1.20,0,0.76
Queso Reggianito,381,30.0,35.8,25.0,68,14.85,7.52,0.57,0.75,0.40,0.171,0,0,0,3.2,3.2,0.1,0,0,0,6.04,1175,92,1184,0.032,694,0.82,44,2.75,0.27,7,0,207,201,0.039,0.332,1.20,0,0.76
"Jugo tipo BC, varios sabores (ali- mento líquido dietético con 50% de jugo y pulpa)",20,93.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,5.0,5.0,5.0,0.0,0,0,x,4,92,5,0.011,9,0.05,5,0.02,0.10,12,0,5,0,0.020,0.011,0,4.5,0
"Aperitivo, tipo Gancia",163,70.5,0.2,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,13.7,13.7,7.8,0,0,15.3,x,9,92,8,0.045,9,0.24,9,0.07,0.21,0,0,0,0,0.018,0.018,0,0,0
Vino Mistela,163,70.5,0.2,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,13.7,13.7,7.8,0,0,15.3,0.3,9,92,8,0.045,9,0.24,9,0.07,0.21,0,0,0,0,0.018,0.018,0,0,0
Galletitas dulces obleas,480,2.2,4.5,20.0,42,9.70,8.50,0.90,1.18,0.60,0.300,0,0,0,70.6,72.1,39.3,39.3,1.5,0,1.2,388,91,27,0.114,75,2.21,14,0.4,0.60,82,46,0,0,0.261,0.100,0,0,0
Queso Roquefort,370,39.4,21.5,30.6,90,19.26,8.47,1.32,1.12,0.92,0.396,0,0,0,2.0,2.0,2.0,0,0,0,6.44,1809,91,662,0.034,392,0.56,30,2.08,0.73,49,0,294,290,0.040,0.586,0.64,0,0.50
Cheesecake (panadería / confite- ría),325,45.6,5.5,22.5,55,9.92,8.63,1.60,0,1.36,0.223,0.012,0,0.005,25.1,25.5,21.8,21.8,0.4,0,0.9,438,90,51,0.02,93,0.63,11,0.51,0.20,20,3,159,156,0.028,0.193,0.17,0.4,0.50
Capucchino preparado,27,94.2,1.7,1.0,4.0,0.65,0.28,0.05,0,0.05,0.004,0,0,0,2.7,2.7,2.6,1.3,0,0,x,27,90,62,0.015,48,0.03,20,0.25,0.93,2,0,28,28,0.018,0.123,0.21,0.1,0.60
"Coctail de frutas, enlatado (fruta y almíbar)",74,80.4,0.4,0.1,0,0.01,0.01,0.03,0,0.03,0.004,0,0,0,17.9,18.9,17.9,8.9,1.0,0,0.23,6,88,6,0.069,11,0.29,5,0.08,0.37,3,0,10,0,0.018,0.019,0,1.9,0
"Puerro, hervido",32,90.8,0.81,0.2,0,0.027,0.003,0.111,0,0.07,0.099,0,0,0,6.62,7.62,2.11,0,1.0,0,0.57,10,87,30,0.062,17,1.1,14,0.06,0.2,24,0,41,0,0.026,0.02,0,4.2,0
"Leche fórmula seguimiento, fluida",66,88.0,1.5,3.1,0.2,0.51,1.76,0.93,0,0.80,0.096,0.006,0,0.006,8.1,8.1,8.1,0,0.8,0,x,27,87,81,0.05,47,1.19,6,0.62,0.62,20,12,62,62,0.057,0.101,0.18,10.0,1.62
"Arroz integral, hervido",116,70.3,2.7,1.0,0,0.26,0.37,0.37,0,0.36,0.011,0,0,0,24.0,25.6,0.2,0,1.6,0,0.44,4,86,3,0.106,103,0.56,39,0.71,2.56,9,0,0,0,0.178,0.069,0,0,0
Queso Sardo,384,30.9,31.8,26.9,104,17.12,7.84,0.59,0.81,0.42,0.178,0,0,0,3.6,3.6,0.7,0,0,0,6.72,1433,86,1064,0.03,760,0.77,41,2.58,0.08,7,0,96,90,0.037,0.370,1.12,0,0.80
Queso en hebras light,277,51.3,30.5,16.5,50,10.40,5.00,1.00,0.50,0.85,0.150,0,0,0,1.7,1.7,0,0,0,0,x,752,84,782,0.025,463,0.22,23,2.76,0.11,9,0,127,124,0.018,0.303,0.82,0,0.48
Queso fresco sin sal,224,59.7,26.9,12.6,47,7.20,4.50,0.60,0.38,0.42,0.180,0,0,0,0.8,0.8,0,0,0,0,x,49,84,782,0.025,463,0.22,23,2.76,0.11,9,0,127,124,0.018,0.303,0.82,0,0.48
Queso pasta blanda descremado,207,58.2,27.4,10.6,36,6.60,3.00,0.30,0.32,0.21,0.090,0,0,0,0.5,0.5,0.5,0,0,0,3.27,492,84,736,0.025,463,0.22,23,2.76,0.11,9,0,127,124,0.018,0.303,0.82,0,0.48
Queso porsalut sin sal light,225,59.8,26.3,12.9,47,7.15,4.50,0.60,0.39,0.42,0.180,0,0,0,1.0,1.0,0,0,0,0,x,55,84,782,0.025,463,0.22,23,2.76,0.11,9,0,127,124,0.018,0.303,0.82,0,0.48
Quesos de pasta semidura descre- mados,251,53.8,24.3,15.9,64,10.11,4.51,0.47,0.48,0.33,0.142,0,0,0,2.8,2.8,1.1,0,0,0,3.27,619,84,782,0.025,463,0.22,23,2.76,0.11,9,0,127,124,0.018,0.303,0.82,0,0.48
"Alimento a base de leche entera y café, fortificado con calcio, varios sabores, listo para consumir",48,89.5,1.9,1.2,6.5,0.77,0.38,0.04,0,0.03,0,0,0,0,7.4,7.4,6.9,4.1,0,0,x,111,83,120,x,56,0.05,7,0.22,0.06,3,0,12,11,0.018,0.111,0.30,0.1,0.02
Dulce de membrillo,269,28.5,0.4,0.1,0,0.00,0.00,0.00,0,0.00,0,0,0,0,66.7,70.8,52.0,52.0,4.1,0,0.2,0,83,11,x,20,0.73,6,0,x,11,0,0,0,0,0,0,0,0
Dulce de membrillo light,160,55.8,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,40.0,44.3,30.0,0,4.3,0,x,0,83,11,x,20,0.73,6,0,x,11,0,0,0,0,0,0,0,0
"Leche fórmula para prematuros etapa 1, fluida",79,80.0,2.6,3.9,0,1.50,1.70,0.60,0,0.48,0.070,0.020,0,0.010,8.4,9.0,5.6,0,0.6,0,x,70,82,101,0.08,63,1.60,8,1.1,2.40,35,35,361,361,0.140,0.210,0.29,17.0,3.1
Rosquita tipo Doughtnut,363,38.2,6.4,24.5,24,5.43,12.08,3.08,0,2.90,0.162,0.012,0,0.003,29.2,30.0,14.6,14.6,0.8,0,0.8,309,80,25,0.113,76,1.83,20,0.8,2.24,109,56,11,11,0.338,0.148,0.14,0,0
"Arroz yamaní, hervido",104,73.0,2.3,0.8,0,0.17,0.30,0.30,0,0.28,0.013,0,0,0,21.7,23.5,0,0,1.8,0,0.39,1,79,10,0.081,77,0.53,44,0.62,1.33,4,0,0,0,0.102,0.012,0,0,0
Torta frita,426,20.9,5.1,25.3,16,8.54,8.74,6.90,0.55,6.71,0.150,0,0,0,44.5,47.8,10.1,9.9,2.0,0,2.2,797,79,5,0.07,65,2.06,11,0.3,1.34,141,76,0,0,0.367,0.099,0,0,0.17
Arándanos,54,84.2,0.7,0.3,0,0.03,0.05,0.15,0,0.09,0.058,0,0,0,12.1,14.5,10.0,0,2.4,0,0.24,1,77,6,0.057,12,0.28,6,0.16,0.42,6,0,3,0,0.037,0.041,0,9.7,0
"Fideos secos integrales / fideos secos de sémola y harina de le- gumbres, hervidos",133,60.7,4.5,0.6,0.0,0.1,0.2,0.4,0,0.4,0.02,0,0,0,27.4,30.4,1.0,0,3.0,0,0.45,5,77,12,0.199,110,1.65,45,1.12,2.887,20,0,0,0,0.157,0.103,0,0,0
Mermelada de frutas,273,30.5,0.4,0.1,0,0.01,0.04,0.00,0,0.00,0,0,0,0,67.8,68.9,48.5,43.7,1.1,0,0.23,32,77,20,0.1,19,0.49,4,0.06,0.04,11,0,0,0,0.016,0.076,0,8.8,0
Alfajor de fruta,387,11.4,2.2,8.9,0,3.70,3.32,0.00,0.90,0.00,0,0,0,0,74.5,77.5,42.4,42.4,3.0,0,x,111,77,29,0.12,67,1.67,11,0.37,1.94,95,49,0,0,0.199,0.202,0.03,0,0
Galletitas dulces hojaldradas,414,21.6,5.0,22.0,10.0,11.00,9.00,1.00,0,0.95,0.050,0,0,0,48.9,51.4,25.0,25.0,2.5,0,x,431,76,11,0.1,50,2.00,11,0.4,1.50,119,70,0,0,0.180,0.120,0,0,0
"Harina de arroz, cruda",348,11.9,6.0,1.4,0,0.39,0.44,0.38,0,0.31,0.067,0,0,0,77.7,80.1,0.1,0,2.4,0,0.61,0,76,10,0.13,98,0.35,35,0.8,2.59,4,0,0,0,0.138,0.021,0,0,0
Queso Cheddar,410,36.2,24.3,33.8,99,19.37,8.43,1.43,1.01,0.78,0.117,0,0,0,2.1,2.1,0.3,0,0,0,3.66,644,76,711,0.035,460,0.16,27,3.74,0.04,27,0,263,256,0.027,0.434,0.88,0,1.64
Queso Muzzarella,278,50.7,23.6,19.3,79,13.90,6.57,0.77,0.58,0.54,0.230,0,0,0,2.4,2.4,0,0,0,0,3.10,486,76,505,0.011,354,0.44,20,2.92,0.10,7,0,179,174,0.030,0.283,2.28,0,0.40
"Avena, arrollada, hervida",84,78.0,2.5,1.3,0,0.24,0.43,0.48,0,0.46,0.015,0,0,0,15.4,17.5,0.2,0,2.1,0,x,0,75,9,0.085,86,1.02,26,0.57,0.32,11,0,0,0,0.109,0.039,0,0,0
"Pan lactal, SIN TACC",230,43.0,4.3,5.2,0,0.98,2.01,0.52,0.01,0.49,0.013,0.002,0,0,41.5,45.8,3.5,3.5,4.3,0,1.68,447,75,138,0.075,51,2.63,12,0.48,2.78,36,0,0,0,0.375,0.505,0,0,0
"Leche fórmula para prematuros etapa 2, fluida",79,84.3,2.5,3.8,6.3,1.73,1.06,0.79,0,0.57,0.078,0.026,0,0.013,8.7,8.7,1.6,0,0,0,0.68,53,75,125,0.09,68,1.37,7,1.14,3.06,31,0,314,314,0.152,0.228,0.19,15.2,2.83
Salsa Golf,320,56.9,0.9,29.4,13,3.20,7.33,18.09,0,17.73,0.362,0,0,0,12.8,12.8,8.3,4.2,0,0,x,916,75,14,0.018,29,0.28,4,0.18,0.29,7,0,22,10,0.010,0.049,0.17,0.8,0
Queso  Pategrás,332,39.0,25.4,25.6,129,21.27,9.62,1.83,1.26,1.28,0.550,0,0,0,0,0,0,0,0,0,7.00,720,74,475,0.036,530,0.24,29,3.9,0.06,21,0,165,164,0.030,0.334,1.54,0,0.50
Queso Azul,368,40.2,20.0,31.1,90,19.26,8.47,1.32,0.93,0.92,0.396,0,0,0,2.0,2.0,2.0,0,0,0,4.41,1210,74,662,0.034,392,0.56,30,2.08,0.73,49,0,294,290,0.040,0.404,0.64,0,0.50
Queso Mar del Plata,332,39.0,25.4,25.6,129,21.27,9.62,1.83,1.26,1.28,0.550,0,0,0,0,0,0,0,0,0,7.00,720,74,475,0.036,530,0.24,29,3.9,0.06,21,0,165,164,0.030,0.334,1.54,0,0.50
Langostino,96,75.3,22.0,0.9,143,0.15,0.19,0.22,0,0.01,0,0.010,0.110,0.080,0,0,0,0,0,0,x,588,74,65,0.28,127,1.00,36,1.0,0,10,0,0,0,0,0.050,2.30,0,0
Ananá Fizz,60,88.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,8.0,8.0,8.0,0,0,4,x,7,72,8,0.04,3,0.50,3,0,0,0,0,0,0,0,0,0,0,0
Sidra,43,91.2,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,4.3,4.3,4.3,0,0,3.7,x,7,72,8,0.04,3,0.50,3,0,0,0,0,0,0,0,0,0,0,0
Puré de frutas envasado (alimento infantil),39,88.6,0.2,0.2,0,0.03,0.01,0.06,0,0.05,0.012,0,0,0,9.1,10.8,9.9,0,1.7,0,0.2,0,71,4,0.038,7,0.22,3,0.02,0.06,2,0,1,0,0.012,0.028,0,15.5,0
